ID, IAU Identifier, Catalog Coordinate  Ra, Catalog Coordinate  Dec, mag r-band  Petrosian, mag r-band  Auto, Redshift (Heliocentric), Redshift (Flow Corrected), Absolute Mag r-band  Auto, r-band Effective Radius, Surface Brightness (1R_e_AVG), Surface Brightness (1R_e), Surface Brightness (2R_e), Ellipticity  r-band, Position Angle  r-band, Stellar Mass, Colour Auto g-i, Galactic extinction  g-band, Priority Class, Bad Class
144239,J115731.83-011510.5,179.38262,-1.25293,14.453,14.518,0.01831,0.02029,-20.21,14.86,20.93,21.53,23.44,0.7617,50.88,10.06,0.93,0.094,8,0
144243,J115732.94-011915.4,179.38726,-1.32095,16.531,16.419,0.0195,0.02133,-18.44,11.94,22.38,23.23,24.95,0.7328,12.44,9.06,0.57,0.083,8,0
144320,J115856.03-012549.5,179.73348,-1.43043,16.175,16.179,0.05202,0.05328,-20.73,1.7,19,19.87,21.59,0.2956,90.48,10.27,0.99,0.095,8,0
144402,J115950.68-012255.0,179.9612,-1.38195,14.984,14.936,0.03554,0.03678,-21.13,4.14,19.66,20.45,22.21,0.352,134.72,10.25,0.74,0.105,8,0
144465,J120049.20-011501.2,180.20501,-1.25035,17.611,17.603,0.02125,0.02285,-17.36,1.64,20.48,21.61,23.24,0.1837,126.77,8.64,0.6,0.117,8,0
144480,J120048.97-012351.3,180.20407,-1.3976,18.025,18.028,0.01993,0.0217,-16.82,3.71,22.31,22.87,24.83,0.4637,173.86,8.35,0.5,0.119,8,0
144491,J120110.80-011751.0,180.29502,-1.29751,13.982,14.158,0.00489,0.00672,-18.13,20.33,21.83,22.68,24.41,0.4419,120.64,8.88,0.5,0.138,8,5
144498,J120100.26-012322.0,180.25111,-1.38946,16.55,16.551,0.03537,0.03661,-19.53,2.69,20.14,21.27,22.89,0.4173,39.1,9.86,1.06,0.127,8,0
144682,J120408.31-012501.8,181.03465,-1.41719,17.695,17.7,0.03509,0.03633,-18.33,1.33,19.78,20.84,22.48,0.4062,0.63,9.02,0.6,0.084,8,0
177326,J114519.26-015220.2,176.33025,-1.87229,19.612,19.185,0.02696,0.02822,-16.36,4.21,25.35,25.35,-99.99,0.4425,94.22,8.48,0.83,0.064,8,0
177481,J114738.41-015522.2,176.91006,-1.92285,17.941,17.905,0.02734,0.02859,-17.58,2.66,21.67,22.39,24.19,0.3012,141.27,8.84,0.73,0.064,8,0
177518,J114810.60-015920.7,177.0442,-1.9891,16.789,16.682,0.00512,0.00689,-15.67,4.5,22.66,23.18,25.2,0.6335,166.5,7.63,0.18,0.07,8,0
178481,J120146.20-015605.0,180.4425,-1.93475,16.865,16.884,0.02508,0.02638,-18.42,8.07,22.99,23.7,25.51,0.2869,131.53,9,0.52,0.091,8,0
178578,J120303.68-015420.5,180.76537,-1.90572,17.801,17.766,0.01981,0.0216,-17.07,6.62,23.02,23.71,25.54,0.538,179.45,8.47,0.53,0.09,8,0
184237,J114257.14-013220.8,175.73812,-1.53913,17.795,17.804,0.04337,0.04464,-18.71,4.01,21.23,21.95,23.75,0.7787,53.36,9.42,0.91,0.058,8,0
184281,J114312.57-013259.6,175.80241,-1.5499,17.471,17.516,0.01989,0.02165,-17.36,7.19,22.88,23.59,25.4,0.5666,85.73,8.54,0.46,0.064,8,0
